datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month,anomMAD_CO(GT),anomMAD_NMHC(GT),anomMAD_C6H6(GT),anomMAD_NOx(GT),anomMAD_NO2(GT),anomMAD_PT08.S1(CO),anomMAD_PT08.S2(NMHC),anomMAD_PT08.S3(NOx),anomMAD_PT08.S4(NO2),anomMAD_PT08.S5(O3),resid_CO(GT),anomRES_CO(GT),resid_NMHC(GT),anomRES_NMHC(GT),resid_C6H6(GT),anomRES_C6H6(GT),resid_NOx(GT),anomRES_NOx(GT),resid_NO2(GT),anomRES_NO2(GT),resid_PT08.S1(CO),anomRES_PT08.S1(CO),resid_PT08.S2(NMHC),anomRES_PT08.S2(NMHC),resid_PT08.S3(NOx),anomRES_PT08.S3(NOx),resid_PT08.S4(NO2),anomRES_PT08.S4(NO2),resid_PT08.S5(O3),anomRES_PT08.S5(O3),anomIF,anomGT_CO(GT),anomGT_NMHC(GT),anomGT_C6H6(GT),anomGT_NOx(GT),anomGT_NO2(GT),anomPT08_PT08.S1(CO),anomPT08_PT08.S2(NMHC),anomPT08_PT08.S3(NOx),anomPT08_PT08.S4(NO2),anomPT08_PT08.S5(O3),weekday,hour,month
2004-03-10 18:00:00,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,18,2,3,False,False,False,False,False,False,False,False,False,False,0.14092087432364542,False,,False,6.250000004470735e-05,False,42.84046041474849,False,6.741834309451335,False,10.641850226570568,False,0.0567521048785693,False,139.05588239742292,False,37.723332935189774,False,44.36235369328415,False,False,False,False,False,False,False,False,False,False,False,False,2,18,3
2004-03-10 19:00:00,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19,2,3,False,False,False,False,False,False,False,False,False,False,0.14275715065163652,False,,False,0.001238347763313996,False,29.823982218847533,False,14.337874879270245,False,55.78185146447572,False,0.22783363531925716,False,150.46906186028866,False,21.396869944383297,False,69.45179639325647,False,False,False,False,False,False,False,False,False,False,False,False,2,19,3
2004-03-10 20:00:00,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20,2,3,False,False,False,False,False,False,False,False,False,False,0.046866599495276606,False,,False,0.0,False,16.38408207638156,False,5.965584526829346,False,110.48841490943687,True,0.2039534395770488,False,109.49861027126485,False,19.538843877892987,False,143.18130921707666,False,False,False,False,False,False,False,True,False,False,False,False,2,20,3
2004-03-10 21:00:00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21,2,3,False,False,False,False,False,False,False,False,False,False,0.05678060711433286,False,,False,0.0009690476190780117,False,6.495154723419915,False,7.7232556332470494,False,70.97326764656918,False,0.6172553809919918,False,117.91224890683782,False,10.472202420214671,False,20.40153984581866,False,False,False,False,False,False,False,False,False,False,False,False,2,21,3
2004-03-10 22:00:00,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22,2,3,False,False,False,False,False,False,False,False,False,False,0.09517769685379895,False,,False,0.008167274392275381,False,4.385071924650589,False,9.845931819585871,False,91.2965393348477,False,0.6408854400458495,False,131.99302092362677,False,15.032801788489223,False,149.2492273415229,False,False,False,False,False,False,False,False,False,False,False,False,2,22,3
2004-03-10 23:00:00,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23,2,3,False,False,False,False,False,False,False,False,False,False,0.028578507824735144,False,,False,0.00024285714284122406,False,4.206579502491465,False,9.098937874013174,False,83.69682262278934,False,1.4840193136109292,False,116.89616573540752,False,5.813939266830857,False,72.5151720315074,False,False,False,False,False,False,False,False,False,False,False,False,2,23,3
2004-03-11 00:00:00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,3,3,False,False,False,False,False,False,False,False,False,False,0.0473714879466447,False,,False,0.00159623015874244,False,12.152734201728776,False,0.5425731528640938,False,127.85370346393415,True,0.9160399922789111,False,153.74725523109532,False,7.51333265053654,False,111.2780821848645,False,False,False,False,False,False,False,True,False,False,False,False,3,0,3
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,3,3,False,False,False,False,False,False,False,False,False,False,0.10516353151277724,False,,False,3.9968028886505635e-15,False,14.859301559207907,False,0.5078316655974646,False,80.0404194726625,False,1.0651523624940182,False,94.08478607707684,False,9.033332929669086,False,41.62184865719087,False,False,False,False,False,False,False,False,False,False,False,False,3,1,3
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,3,3,False,False,False,False,False,False,False,False,False,False,0.03656369363780376,False,,False,0.025035343537184396,False,2.7867270456667512,False,2.09893591539182,False,112.08260071971347,True,1.4396118094150552,False,144.49113265451797,False,7.460093572577989,False,40.61264106062913,False,False,False,False,False,False,False,True,False,False,False,False,3,2,3
2004-03-11 03:00:00,0.6,1010.0,19.0,1.7,561.0,33.0,1705.0,47.0,1235.0,501.0,10.3,60.2,0.7517,3,3,3,False,False,False,False,False,False,False,False,False,False,0.025762749432370224,False,,False,8.749999999380087e-05,False,4.496623533002946,False,7.6405060689547,False,58.563179353498754,False,0.20416819169372502,False,137.44886382979803,False,0.856682111704913,False,27.56054273545101,False,False,False,False,False,False,False,False,False,False,False,False,3,3,3
2004-03-11 04:00:00,0.6,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,4,3,3,False,False,False,False,False,False,False,False,False,False,0.021107435244064332,False,,False,0.0016361111111153903,False,7.548358659928841,False,12.112192871251949,False,75.00426397295553,False,0.46237960528048916,False,216.57995323304112,True,3.3584109376172364,False,74.34510556722682,False,False,False,False,False,False,False,False,False,True,False,False,3,4,3
2004-03-11 05:00:00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,5,3,3,False,False,False,False,False,False,False,False,False,False,0.10192135956363901,False,,False,0.0025705266955240447,False,10.486573104402481,False,16.11011351229393,False,140.61396605911727,True,4.000218659178813,False,304.6670532245539,True,9.88107798685678,False,140.28301709401705,False,False,False,False,False,False,False,True,False,True,False,False,3,5,3
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,3,3,False,False,False,False,False,False,False,False,False,False,0.053198361066608024,False,,False,0.0030770847573491356,False,1.4569491639079857,False,4.876567963881627,False,91.07955358302729,False,0.39720168346457285,False,168.11345751389172,False,8.512829646961563,False,64.99937960242391,False,False,False,False,False,False,False,False,False,False,False,False,3,6,3
2004-03-11 07:00:00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,3,3,False,False,False,False,False,False,False,False,False,False,0.01002848600273154,False,,False,2.6645352591003757e-15,False,13.154080783122978,False,6.438292998627205,False,81.05655050786436,False,1.1151815896522521,False,133.63246294187866,False,63.33710170606355,False,42.54988231307766,False,False,False,False,False,False,False,False,False,False,False,False,3,7,3
2004-03-11 08:00:00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,3,3,False,False,False,False,False,False,False,False,False,False,0.17746479660045855,False,,False,0.012568242868242763,False,30.645569671724047,False,6.818048870361508,False,92.50645389128817,False,0.6972233173823952,False,121.7651963378687,False,70.50619232663644,False,0.3006668584680483,False,False,False,False,False,False,False,False,False,False,False,False,3,8,3
2004-03-11 09:00:00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,3,3,False,False,False,False,False,False,False,False,False,False,0.16462569314500453,False,,False,0.012988528260951426,False,26.49525342415143,False,4.892725744108901,False,57.741217961411394,False,0.49340089953966526,False,73.05780028060212,False,16.380364482008645,False,101.10727591208229,False,False,False,False,False,False,False,False,False,False,False,False,3,9,3
2004-03-11 10:00:00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,3,3,False,False,False,False,False,False,False,False,False,False,0.011989910412086413,False,,False,0.00042499999997680504,False,1.2476253803600343,False,1.8667275379956294,False,120.26194340779216,True,0.5845480140775408,False,118.41755056493207,False,0.5794642873470366,False,43.553294185037544,False,False,False,False,False,False,False,True,False,False,False,False,3,10,3
2004-03-11 11:00:00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,3,3,False,False,False,False,False,False,False,False,False,False,0.21334884535399334,False,,False,0.0004126566416040589,False,2.3837315101994108,False,2.280998893907892,False,94.63972732090383,False,1.025413234791472,False,101.81451996504939,False,5.428011585636341,False,160.37150431392672,False,False,False,False,False,False,False,False,False,False,False,False,3,11,3
2004-03-11 12:00:00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,3,3,False,False,False,False,False,False,False,False,False,False,0.007464858352861148,False,,False,0.000297619047601394,False,0.09754681394028353,False,6.077708032200448,False,138.4652698242162,True,0.34401789193782406,False,94.8646843451952,False,10.896986681404542,False,228.70203047570783,True,False,False,False,False,False,False,True,False,False,False,True,3,12,3
2004-03-11 13:00:00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,3,3,False,False,False,False,False,False,False,False,False,False,0.07145854485856384,False,,False,0.0014123015873259703,False,9.692321026196055,False,8.026638122842016,False,106.169834762052,False,0.08221130872948379,False,97.9429346575555,False,12.073934498099788,False,170.88235521382182,False,False,False,False,False,False,False,False,False,False,False,False,3,13,3
2004-03-11 14:00:00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,3,3,False,False,False,False,False,False,False,False,False,False,0.16661532343512242,False,,False,0.03624299173048229,False,2.935356217597729,False,8.282558028400999,False,25.295077622132112,False,1.097354291541933,False,91.9434609348989,False,40.21639692170652,False,61.75112960270326,False,False,False,False,False,False,False,False,False,False,False,False,3,14,3
2004-03-11 15:00:00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,3,3,False,False,False,False,False,False,False,False,False,False,0.04384599497724562,False,,False,3.019806626980426e-14,False,5.775679956434146,False,10.796890098055556,False,62.85658728159137,False,0.79559373626455,False,132.21745083805467,False,69.6616532266753,False,80.36994406548979,False,False,False,False,False,False,False,False,False,False,False,False,3,15,3
2004-03-11 16:00:00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,3,3,False,False,False,False,False,False,False,False,False,False,0.014769538468067722,False,,False,0.007620618964390147,False,27.58221474094782,False,17.59793243766036,False,41.854444932926754,False,0.33412531912540544,False,127.24784611720372,False,90.80915442074274,False,56.595619440178666,False,False,False,False,False,False,False,False,False,False,False,False,3,16,3
