datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Hour,Weekday,Month
2004-03-10 18:00:00,0.30777840896436875,-0.33673831972543583,0.24389794573505522,-0.3798586355589014,-0.0018866347156548803,-0.5341971809661776,-0.01930019806482919,-0.6630431064912716,18,2,3
2004-03-10 19:00:00,-0.10511562583416847,-0.5226955703487677,-0.09169930906637404,-0.6756813788153618,-0.4360672078077702,-0.5681660162771321,-0.08860054982236727,-0.7430351520757045,19,2,3
2004-03-10 20:00:00,0.03251571909867738,-0.6401422549529774,-0.14539486983460276,-0.5442046040347127,0.018788630669683944,-0.7266872477282535,0.2752262969047088,-0.6818647642758442,20,2,3
2004-03-10 21:00:00,0.03251571909867738,-0.6792911498210472,-0.11854708945048852,-0.35168504096304803,0.18419075375239455,-0.8285937536611173,0.6217280556924004,-0.591471276231516,21,2,3
2004-03-10 22:00:00,-0.38037831569985986,-0.8212058937178005,-0.480992124636032,-0.5442046040347127,0.06013916144036159,-0.8059478634538143,0.5986279384398877,-0.5862705550015683,22,2,3
2004-03-10 23:00:00,-0.6556410055655515,-0.8848228478784141,-0.722622148093061,-0.7414197662056864,-0.3533661462664149,-0.8059478634538143,0.575527821187375,-0.5961766906776589,23,2,3
2004-03-11 00:00:00,-0.6556410055655515,-0.9190781308879752,-0.87028494020569,-0.8682009418870266,-0.7461961885878525,-0.7946249183501626,0.4369271176722981,-0.656851771693715,0,3,3
2004-03-11 01:00:00,-0.7932723504983972,-0.9190781308879752,-0.9105566107818615,-0.8682009418870266,-0.7668714539731913,-0.8625625889720719,0.6217280556924004,-0.6323340858953903,1,3,3
2004-03-11 02:00:00,-0.8620880229648201,-0.9533334138975363,-1.044795512702433,-0.9480261265752777,-1.0976757001386126,-0.8625625889720719,0.604402967753016,-0.6457073690581128,2,3,3
2004-03-11 03:00:00,-1.0685350403640885,-0.97780147319008,-1.1253388538547762,,,-0.9078543693866779,0.633278114318657,-0.67814996339731,3,3,3
