datetime,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month
2004-03-10 18:00:00,0.30777840896436875,1.1985501116416413,0.24389794573505522,0.40044970460623086,-0.3798586355589014,0.8586596064140916,-0.0018866347156548803,0.6809471018208576,0.615099541676248,-0.5341971809661776,-0.01930019806482919,-0.6630431064912716,18,2,3
2004-03-10 19:00:00,-0.10511562583416847,0.8852841718784956,-0.09169930906637404,0.05939145102958795,-0.6756813788153618,1.3181557286298957,-0.4360672078077702,0.2967622753272663,-0.12775650409463327,-0.5681660162771321,-0.08860054982236727,-0.7430351520757045,19,2,3
2004-03-10 20:00:00,0.03251571909867738,1.3920378979659371,-0.14539486983460276,-0.000574835313558053,-0.5442046040347127,1.1857585408727995,0.018788630669683944,0.2852078444552786,0.1282276738399272,-0.7266872477282535,0.2752262969047088,-0.6818647642758442,20,2,3
2004-03-10 21:00:00,0.03251571909867738,1.2722597445270873,-0.11854708945048852,0.03315620075446157,-0.35168504096304803,0.9988448640392522,0.18419075375239455,0.36897746827718947,0.4519723694630478,-0.8285937536611173,0.6217280556924004,-0.591471276231516,21,2,3
2004-03-10 22:00:00,-0.38037831569985986,0.7931471307716881,-0.480992124636032,-0.3866078036475604,-0.5442046040347127,1.4388708115848952,0.06013916144036159,0.09744834278547831,0.21857503075800735,-0.8059478634538143,0.5986279384398877,-0.5862705550015683,22,2,3
2004-03-10 23:00:00,-0.6556410055655515,0.4476332266211598,-0.722622148093061,-0.7089265927419702,-0.7414197662056864,1.9528834228771506,-0.3533661462664149,-0.1827466058602236,-0.18547842657007338,-0.8059478634538143,0.575527821187375,-0.5961766906776589,23,2,3
2004-03-11 00:00:00,-0.6556410055655515,0.39235100195707523,-0.87028494020569,-0.9338001665287677,-0.8682009418870266,2.4396377896311803,-0.7461961885878525,-0.35606306894003925,-0.7275625680785544,-0.7946249183501626,0.4369271176722981,-0.656851771693715,0,3,3
2004-03-11 01:00:00,-0.7932723504983972,0.16661525124539678,-0.9105566107818615,-1.001262238664807,-0.8682009418870266,2.40459147522489,-0.7668714539731913,-0.35606306894003925,-0.7350915144883944,-0.8625625889720719,0.6217280556924004,-0.6323340858953903,1,3,3
2004-03-11 02:00:00,-0.8620880229648201,-0.026872535078899067,-1.044795512702433,-1.2373794911409444,-0.9480261265752777,2.895239876912952,-1.0976757001386126,-0.5207137088658641,-1.011152882849195,-0.8625625889720719,0.604402967753016,-0.6457073690581128,2,3,3
2004-03-11 03:00:00,-1.0685350403640885,-0.41384810772749075,-1.1253388538547762,-1.4172783501703823,,3.3858882786010143,,-0.6391466253037381,-1.3098010904395154,-0.9078543693866779,0.633278114318657,-0.67814996339731,3,3,3
2004-03-11 04:00:00,,-0.40924125567215036,-1.1790344146230047,-1.5447067086495676,-1.0607205049586912,3.825914226146657,-1.635232600157422,-0.7489137185876213,-1.4503414234231957,-0.9305002595939811,0.6506032022580414,-0.691027939776228,4,3,3
2004-03-11 05:00:00,-0.9997193678976658,-0.15586439262842963,-1.2058821950071192,-1.600925102096267,-1.0841985004552357,4.215317719549881,-1.7592841924694549,-0.7922428343575753,-1.5080633458986357,-0.8285937536611173,0.40227694179352924,-0.7155456255745527,5,3,3
2004-03-11 06:00:00,-0.9997193678976658,-0.22036032140319492,-1.1387627440468333,-1.4472614933419554,-0.9996777166676756,3.514391431424078,-1.3457788847626784,-0.6795871333556951,-1.3825809057346354,-0.885208479179375,0.5120024987429648,-0.7187651196692824,6,3,3
2004-03-11 07:00:00,-0.7244566780319742,0.2034700676881198,-0.9239805009739186,-1.02000170314704,-0.6991593743119063,2.548670767784083,-0.6428198616611585,-0.3387314226320577,-0.7350915144883944,-0.9191773144903296,0.5986279384398877,-0.702915302587537,7,3,3
2004-03-11 08:00:00,-0.10511562583416847,1.074165106147451,-0.27963377175517445,-0.14674265827497643,-0.34229384276443026,1.1701824011366706,-0.022561900100993706,0.17544075117139535,0.19849784033176732,-0.8512396438684202,0.4715772935510673,-0.7051441831146574,8,3,3
2004-03-11 09:00:00,0.03251571909867738,1.157088443143578,-0.07827541887431691,0.07813091551182108,-0.5535958022333305,0.948222409896833,-0.24998981933972078,0.36608886055919254,0.012783828889046988,-0.885208479179375,0.6563782315711697,-0.6350582732063152,9,3,3
2004-03-11 10:00:00,-0.31156264323343713,0.6134799006134134,-0.5078399050201464,-0.42033883971558006,-0.6334209869215818,1.489493265727314,-0.31201561549573725,-0.02965039680638647,-0.40883717006199377,-0.8512396438684202,0.5293275866823492,-0.6694820946807307,10,3,3
2004-03-11 11:00:00,-0.4491939881662828,0.364709889625033,-0.6823504775168896,-0.6639518779846107,-0.713246171609833,1.9178371084708603,-0.4360672078077702,-0.27229344511812836,-0.8831607938819146,-0.885208479179375,0.5004524401167083,-0.7190127730611846,11,3,3
2004-03-11 12:00:00,-0.38037831569985986,0.6273004567794345,-0.6555026971327752,-0.6189771632272512,-0.6709857797160529,1.81269816525199,-0.3740414116517537,-0.15963774411624818,-0.9007283355048746,-0.9984379302158902,1.0144300489851175,-0.5706683913117252,12,3,3
