datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month,T_lag1,T_lag2,T_lag7,RH_lag1,RH_lag2,RH_lag7,AH_lag1,AH_lag2,AH_lag7,PT08.S1(CO)_lag1,PT08.S1(CO)_lag2,PT08.S1(CO)_lag7,PT08.S2(NMHC)_lag1,PT08.S2(NMHC)_lag2,PT08.S2(NMHC)_lag7,PT08.S3(NOx)_lag1,PT08.S3(NOx)_lag2,PT08.S3(NOx)_lag7,PT08.S4(NO2)_lag1,PT08.S4(NO2)_lag2,PT08.S4(NO2)_lag7,PT08.S5(O3)_lag1,PT08.S5(O3)_lag2,PT08.S5(O3)_lag7,T_rollmean_3,T_rollmean_7,RH_rollmean_3,RH_rollmean_7,AH_rollmean_3,AH_rollmean_7,PT08.S1(CO)_rollmean_3,PT08.S1(CO)_rollmean_7,PT08.S2(NMHC)_rollmean_3,PT08.S2(NMHC)_rollmean_7,PT08.S3(NOx)_rollmean_3,PT08.S3(NOx)_rollmean_7,PT08.S4(NO2)_rollmean_3,PT08.S4(NO2)_rollmean_7,PT08.S5(O3)_rollmean_3,PT08.S5(O3)_rollmean_7
2004-03-10,1.9666666666666668,1316.5,86.5,8.450000000000001,912.3333333333334,132.0,1167.3333333333333,108.83333333333333,1545.5,1096.0,12.033333333333333,54.9,0.7656333333333333,20.5,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,12.033333333333333,12.033333333333333,54.9,54.9,0.7656333333333333,0.7656333333333333,1316.5,1316.5,912.3333333333334,912.3333333333334,1167.3333333333333,1167.3333333333333,1545.5,1545.5,1096.0,1096.0
2004-03-11,2.1708333333333334,1244.1666666666667,104.5,7.979166666666667,851.9583333333334,139.75,1277.25,97.66666666666667,1522.8333333333333,885.25,9.8375,64.075,0.7757666666666667,11.5,3.0,3.0,12.033333333333333,,,54.9,,,0.7656333333333333,,,1316.5,,,912.3333333333334,,,1167.3333333333333,,,1545.5,,,1096.0,,,10.935416666666667,10.935416666666667,59.4875,59.4875,0.7706999999999999,0.7706999999999999,1280.3333333333335,1280.3333333333335,882.1458333333334,882.1458333333334,1222.2916666666665,1222.2916666666665,1534.1666666666665,1534.1666666666665,990.625,990.625
2004-03-12,2.7583333333333333,1281.6666666666667,158.375,12.129166666666668,1008.2916666666666,171.6875,1101.875,114.625,1627.2916666666667,1084.375,11.2875,51.09583333333333,0.6631041666666667,11.5,4.0,3.0,9.8375,12.033333333333333,,64.075,54.9,,0.7757666666666667,0.7656333333333333,,1244.1666666666667,1316.5,,851.9583333333334,912.3333333333334,,1277.25,1167.3333333333333,,1522.8333333333333,1545.5,,885.25,1096.0,,11.052777777777777,11.052777777777777,56.69027777777777,56.69027777777777,0.7348347222222222,0.7348347222222222,1280.7777777777778,1280.7777777777778,924.1944444444445,924.1944444444445,1182.1527777777776,1182.1527777777776,1565.2083333333333,1565.2083333333333,1021.875,1021.875
2004-03-13,2.6416666666666666,1330.6666666666667,139.25,10.916666666666666,992.8333333333334,180.75,993.2083333333334,117.35416666666667,1595.7916666666667,1245.9166666666667,12.866666666666667,51.53333333333333,0.7322958333333333,11.5,5.0,3.0,11.2875,9.8375,,51.09583333333333,64.075,,0.6631041666666667,0.7757666666666667,,1281.6666666666667,1244.1666666666667,,1008.2916666666666,851.9583333333334,,1101.875,1277.25,,1627.2916666666667,1522.8333333333333,,1084.375,885.25,,11.330555555555556,11.50625,55.56805555555555,55.40104166666667,0.7237222222222223,0.7342,1285.5,1293.25,951.0277777777777,941.3541666666667,1124.111111111111,1134.9166666666667,1581.9722222222224,1572.8541666666667,1071.8472222222224,1077.8854166666667
2004-03-14,2.441666666666667,1361.125,116.95833333333333,9.637500000000001,943.9166666666666,144.625,1001.2916666666666,109.66666666666667,1602.375,1234.2083333333333,16.0125,48.85,0.8496708333333333,11.5,6.0,3.0,12.866666666666667,11.2875,,51.53333333333333,51.09583333333333,,0.7322958333333333,0.6631041666666667,,1330.6666666666667,1281.6666666666667,,992.8333333333334,1008.2916666666666,,993.2083333333334,1101.875,,1595.7916666666667,1627.2916666666667,,1245.9166666666667,1084.375,,13.388888888888891,12.4075,50.493055555555564,54.09083333333333,0.7483569444444443,0.7572941666666667,1324.486111111111,1306.825,981.6805555555555,941.8666666666666,1032.125,1108.1916666666666,1608.4861111111113,1578.7583333333334,1188.1666666666667,1109.15
2004-03-15,3.4,1452.1666666666667,236.625,16.091666666666665,1138.9166666666667,209.79166666666666,845.625,117.10416666666667,1888.625,1439.0833333333333,17.366666666666667,50.32083333333333,0.9440291666666667,11.5,0.0,3.0,16.0125,12.866666666666667,,48.85,51.53333333333333,,0.8496708333333333,0.7322958333333333,,1361.125,1330.6666666666667,,943.9166666666666,992.8333333333334,,1001.2916666666666,993.2083333333334,,1602.375,1595.7916666666667,,1234.2083333333333,1245.9166666666667,,15.41527777777778,13.234027777777778,50.234722222222224,53.4625,0.841998611111111,0.7884166666666667,1381.3194444444446,1331.048611111111,1025.2222222222224,974.7083333333334,946.7083333333334,1064.4305555555554,1695.5972222222224,1630.4027777777776,1306.4027777777776,1164.138888888889
2004-03-16,2.6791666666666667,1339.6666666666667,191.125,13.5,1061.9166666666667,176.16666666666666,939.2916666666666,115.75,1726.625,1322.625,18.625,44.8375,0.8710208333333332,11.5,1.0,3.0,17.366666666666667,16.0125,,50.32083333333333,48.85,,0.9440291666666667,0.8496708333333333,,1452.1666666666667,1361.125,,1138.9166666666667,943.9166666666666,,845.625,1001.2916666666666,,1888.625,1602.375,,1439.0833333333333,1234.2083333333333,,17.334722222222222,14.004166666666666,48.00277777777779,52.230357142857144,0.8882402777777778,0.8002172619047618,1384.3194444444443,1332.279761904762,1048.25,987.1666666666667,928.736111111111,1046.5535714285713,1739.2083333333333,1644.1488095238094,1331.972222222222,1186.779761904762
2004-03-17,2.970833333333333,1362.8333333333333,207.45833333333334,15.237499999999999,1099.0833333333333,194.20833333333334,930.6666666666666,117.85416666666667,1741.2083333333333,1405.875,18.779166666666665,41.166666666666664,0.8049166666666667,11.5,2.0,3.0,18.625,17.366666666666667,12.033333333333333,44.8375,50.32083333333333,54.9,0.8710208333333332,0.9440291666666667,0.7656333333333333,1339.6666666666667,1452.1666666666667,1316.5,1061.9166666666667,1138.9166666666667,912.3333333333334,939.2916666666666,845.625,1167.3333333333333,1726.625,1888.625,1545.5,1322.625,1439.0833333333333,1096.0,18.256944444444446,14.967857142857143,45.44166666666667,50.26845238095239,0.8733222222222222,0.8058291666666666,1384.8888888888887,1338.8988095238096,1099.9722222222224,1013.8452380952382,905.1944444444443,1012.7440476190477,1785.486111111111,1672.107142857143,1389.1944444444443,1231.047619047619
2004-03-18,2.6125000000000003,1352.6666666666667,215.90769230769232,13.795833333333334,1072.5833333333333,171.6875,901.1666666666666,123.375,1702.8333333333333,1301.0,17.7625,44.0875,0.8260166666666667,11.5,3.0,3.0,18.779166666666665,18.625,9.8375,41.166666666666664,44.8375,64.075,0.8049166666666667,0.8710208333333332,0.7757666666666667,1362.8333333333333,1339.6666666666667,1244.1666666666667,1099.0833333333333,1061.9166666666667,851.9583333333334,930.6666666666666,939.2916666666666,1277.25,1741.2083333333333,1726.625,1522.8333333333333,1405.875,1322.625,885.25,18.38888888888889,16.099999999999998,43.36388888888889,47.41309523809524,0.8339847222222222,0.8130077380952381,1351.7222222222224,1354.3988095238094,1077.861111111111,1045.3630952380952,923.7083333333334,959.0178571428571,1723.5555555555554,1697.8214285714287,1343.1666666666667,1290.4404761904764
2004-03-19,2.8666666666666667,1304.2916666666667,,13.520833333333334,1058.0,174.0,913.375,115.14583333333333,1745.4166666666667,1095.7916666666667,14.191666666666668,57.90416666666667,0.9239583333333333,11.5,4.0,3.0,17.7625,18.779166666666665,11.2875,44.0875,41.166666666666664,51.09583333333333,0.8260166666666667,0.8049166666666667,0.6631041666666667,1352.6666666666667,1362.8333333333333,1281.6666666666667,1072.5833333333333,1099.0833333333333,1008.2916666666666,901.1666666666666,930.6666666666666,1101.875,1702.8333333333333,1741.2083333333333,1627.2916666666667,1301.0,1405.875,1084.375,16.91111111111111,16.514880952380953,47.71944444444444,48.385714285714286,0.8516305555555556,0.8502726190476191,1339.9305555555554,1357.6309523809525,1076.5555555555554,1052.4642857142858,915.0694444444445,932.0892857142857,1729.8194444444443,1714.6964285714287,1267.5555555555557,1292.0714285714287
