datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month,T_lag1,T_lag2,T_lag7,RH_lag1,RH_lag2,RH_lag7,AH_lag1,AH_lag2,AH_lag7,C6H6(GT)_lag1,C6H6(GT)_lag2,C6H6(GT)_lag7,C6H6(GT)_rollmean_3,C6H6(GT)_rollmean_7,CO(GT)_lag1,CO(GT)_lag2,CO(GT)_lag7,CO(GT)_rollmean_3,CO(GT)_rollmean_7,NOx(GT)_lag1,NOx(GT)_lag2,NOx(GT)_lag7,NOx(GT)_rollmean_3,NOx(GT)_rollmean_7,NO2(GT)_lag1,NO2(GT)_lag2,NO2(GT)_lag7,NO2(GT)_rollmean_3,NO2(GT)_rollmean_7
2004-03-17,2.970833333333333,1362.8333333333333,207.45833333333334,15.237499999999999,1099.0833333333333,194.20833333333334,930.6666666666666,117.85416666666667,1741.2083333333333,1405.875,18.779166666666665,41.166666666666664,0.8049166666666667,11.5,2.0,3.0,18.625,17.366666666666667,12.033333333333333,44.8375,50.32083333333333,54.9,0.8710208333333332,0.9440291666666667,0.7656333333333333,13.5,16.091666666666665,8.450000000000001,14.943055555555555,12.213095238095237,2.6791666666666667,3.4,1.9666666666666668,3.016666666666667,2.7232142857142856,176.16666666666666,209.79166666666666,132.0,193.38888888888889,173.85416666666669,115.75,117.10416666666667,108.83333333333333,116.90277777777779,112.86011904761904
2004-03-18,2.6125000000000003,1352.6666666666667,215.90769230769232,13.795833333333334,1072.5833333333333,171.6875,901.1666666666666,123.375,1702.8333333333333,1301.0,17.7625,44.0875,0.8260166666666667,11.5,3.0,3.0,18.779166666666665,18.625,9.8375,41.166666666666664,44.8375,64.075,0.8049166666666667,0.8710208333333332,0.7757666666666667,15.237499999999999,13.5,7.979166666666667,14.177777777777777,13.044047619047618,2.970833333333333,2.6791666666666667,2.1708333333333334,2.7541666666666664,2.786309523809524,194.20833333333334,176.16666666666666,139.75,180.6875,178.41666666666669,117.85416666666667,115.75,97.66666666666667,118.99305555555554,116.5327380952381
2004-03-19,2.8666666666666667,1304.2916666666667,,13.520833333333334,1058.0,174.0,913.375,115.14583333333333,1745.4166666666667,1095.7916666666667,14.191666666666668,57.90416666666667,0.9239583333333333,11.5,4.0,3.0,17.7625,18.779166666666665,11.2875,44.0875,41.166666666666664,51.09583333333333,0.8260166666666667,0.8049166666666667,0.6631041666666667,13.795833333333334,15.237499999999999,12.129166666666668,14.184722222222222,13.242857142857144,2.6125000000000003,2.970833333333333,2.7583333333333333,2.8166666666666664,2.8017857142857143,171.6875,194.20833333333334,171.6875,179.9652777777778,178.74702380952382,123.375,117.85416666666667,114.625,118.79166666666667,116.60714285714286
2004-03-20,2.066666666666667,1288.625,,8.754166666666666,911.9583333333334,128.91666666666666,968.4583333333334,96.08333333333333,1609.0833333333333,1019.0,15.862499999999999,52.18333333333334,0.9289958333333334,11.5,5.0,3.0,14.191666666666668,17.7625,12.866666666666667,57.90416666666667,44.0875,51.53333333333333,0.9239583333333333,0.8260166666666667,0.7322958333333333,13.520833333333334,13.795833333333334,10.916666666666666,12.023611111111114,12.93392857142857,2.8666666666666667,2.6125000000000003,2.6416666666666666,2.515277777777778,2.719642857142857,174.0,171.6875,180.75,158.20138888888889,171.3422619047619,115.14583333333333,123.375,117.35416666666667,111.53472222222221,113.5684523809524
2004-03-21,1.9666666666666668,1252.7083333333333,,7.595833333333334,870.625,115.58333333333333,975.6666666666666,89.02083333333333,1601.7916666666667,954.25,17.2125,52.45416666666667,1.0063208333333333,11.5,6.0,3.0,15.862499999999999,14.191666666666668,16.0125,52.18333333333334,57.90416666666667,48.85,0.9289958333333334,0.9239583333333333,0.8496708333333333,8.754166666666666,13.520833333333334,9.637500000000001,9.956944444444446,12.642261904761906,2.066666666666667,2.8666666666666667,2.441666666666667,2.3000000000000003,2.6517857142857144,128.91666666666666,174.0,144.625,139.49999999999997,167.19345238095238,96.08333333333333,115.14583333333333,109.66666666666667,100.08333333333333,110.6190476190476
2004-03-22,2.066666666666667,1129.3333333333333,388.29090909090905,9.4125,911.5416666666666,120.16666666666667,1062.25,88.0,1595.3333333333333,857.875,17.358333333333334,44.833333333333336,0.8579333333333333,11.5,0.0,3.0,17.2125,15.862499999999999,17.366666666666667,52.45416666666667,52.18333333333334,50.32083333333333,1.0063208333333333,0.9289958333333334,0.9440291666666667,7.595833333333334,8.754166666666666,16.091666666666665,8.5875,11.688095238095238,1.9666666666666668,2.066666666666667,3.4,2.0333333333333337,2.461309523809524,115.58333333333333,128.91666666666666,209.79166666666666,121.55555555555554,154.38988095238096,89.02083333333333,96.08333333333333,117.10416666666667,91.03472222222223,106.46130952380952
2004-03-23,1.9375,1122.1666666666667,167.54166666666666,8.9625,896.625,122.60416666666667,1073.5416666666667,95.0625,1557.0,892.7083333333334,12.133333333333333,60.46666666666667,0.8424999999999999,11.5,1.0,3.0,17.358333333333334,17.2125,18.625,44.833333333333336,52.45416666666667,44.8375,0.8579333333333333,1.0063208333333333,0.8710208333333332,9.4125,7.595833333333334,13.5,8.656944444444443,11.039880952380953,2.066666666666667,1.9666666666666668,2.6791666666666667,1.9902777777777778,2.355357142857143,120.16666666666667,115.58333333333333,176.16666666666666,119.4513888888889,146.7380952380952,88.0,89.02083333333333,115.75,90.69444444444444,103.50595238095238
2004-03-24,2.0500000000000003,1149.0416666666667,186.83333333333334,8.625,888.875,125.4375,1040.75,95.14583333333333,1541.625,909.9583333333334,11.674999999999999,59.0875,0.7967083333333332,11.5,2.0,3.0,12.133333333333333,17.358333333333334,18.779166666666665,60.46666666666667,44.833333333333336,41.166666666666664,0.8424999999999999,0.8579333333333333,0.8049166666666667,8.9625,9.4125,15.237499999999999,9.0,10.095238095238097,1.9375,2.066666666666667,2.970833333333333,2.0180555555555557,2.223809523809524,122.60416666666667,120.16666666666667,194.20833333333334,122.73611111111113,136.91369047619048,95.0625,88.0,117.85416666666667,92.73611111111113,100.26190476190477
2004-03-25,1.9041666666666668,1084.9583333333333,199.58333333333334,8.095833333333333,859.7083333333334,111.95833333333333,1124.2083333333333,87.29166666666667,1494.6666666666667,800.4583333333334,11.633333333333333,58.79583333333333,0.7820791666666667,11.5,3.0,3.0,11.674999999999999,12.133333333333333,17.7625,59.0875,60.46666666666667,44.0875,0.7967083333333332,0.8424999999999999,0.8260166666666667,8.625,8.9625,13.795833333333334,8.561111111111112,9.280952380952382,2.0500000000000003,1.9375,2.6125000000000003,1.9638888888888892,2.1226190476190476,125.4375,122.60416666666667,171.6875,120.0,128.38095238095238,95.14583333333333,95.0625,123.375,92.5,95.10714285714285
2004-03-26,1.8791666666666667,1084.7083333333333,174.45833333333334,8.424999999999999,892.5,118.375,1032.2083333333333,91.54166666666667,1457.625,888.5,11.666666666666666,51.291666666666664,0.6764916666666667,11.5,4.0,3.0,11.633333333333333,11.674999999999999,14.191666666666668,58.79583333333333,59.0875,57.90416666666667,0.7820791666666667,0.7967083333333332,0.9239583333333333,8.095833333333333,8.625,13.520833333333334,8.381944444444443,8.55297619047619,1.9041666666666668,2.0500000000000003,2.8666666666666667,1.9444444444444446,1.9815476190476191,111.95833333333333,125.4375,174.0,118.59027777777777,120.43452380952382,87.29166666666667,95.14583333333333,115.14583333333333,91.3263888888889,91.73511904761905
